Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto A,1350,2631.8,Mavic Air 2,93,12.551,10,10.906,52.7,3.1,1.6449999999999996
Piloto D,0,2555.6,Mavic Air 2,33,11.288,18,11.099,0.0,0.1,0.18900000000000006
Piloto D,859,4.6,Matrice 210 RTK V2,99,25.916,46,22.297,112.9,10.0,3.6189999999999998
Piloto D,104,925.9,Mavic Pro,100,13.018,95,12.717,5.7,0.1,0.30100000000000016
Piloto A,766,2620.4,Mavic Pro,99,12.677,39,10.903,18.0,0.3,1.7739999999999991
Piloto A,1043,2563.3,Phantom 4,98,16.806,9,14.05,16.2,0.7,2.7560000000000002
Piloto D,27,7.1,Phantom 3 Advanced,96,17.037,96,15.587,27.8,0.0,1.4499999999999993
Piloto D,0,2560.9,Spark,56,11.606,56,11.58,0.0,0.0,0.0259999999999998
Piloto D,733,2867.0,Spark,99,12.847,9,10.691,58.5,0.7,2.155999999999999
Piloto D,936,2562.6,Phantom 3 Advanced,97,16.97,13,14.008,61.4,2.0,2.9619999999999997
Piloto D,90,0.0,Spark,82,12.176,71,11.553,0.0,0.0,0.6229999999999993
Piloto C,384,2637.0,Mavic Pro,39,11.02,10,10.826,65.3,0.2,0.19399999999999906
Piloto A,1438,2636.8,Mavic Pro,80,11.652,57,11.373,64.9,0.5,0.2789999999999999
Piloto D,964,1419.8,Phantom 3 Advanced,98,16.994,10,13.338,183.4,9.7,3.6560000000000006
Piloto A,571,2620.4,Spark,98,12.677,23,10.739,71.3,0.5,1.9379999999999988
Piloto D,588,2618.8,Spark,99,12.542,17,10.709,6.1,0.2,1.8330000000000002
Piloto D,0,3.6,Phantom 3 Advanced,87,16.549,87,16.549,0.0,0.0,0.0
Piloto A,502,2442.0,Phantom 3 Advanced,99,17.066,62,15.243,117.4,1.2,1.8229999999999986
Piloto A,878,790.5,Phantom 3 Advanced,96,16.926,13,14.201,380.3,8.9,2.724999999999998
Piloto B,736,1609.1,Mavic Air 2,99,12.727,52,11.447,121.8,1.3,1.2800000000000011
Piloto D,292,993.1,Phantom 3 Advanced,97,17.027,74,15.058,236.0,1.7,1.9690000000000012
Piloto D,212,2593.6,Phantom 3 Advanced,36,15.101,20,13.969,76.3,0.5,1.1320000000000014
Piloto D,752,2550.7,Phantom 3 Advanced,90,16.578,18,14.038,73.1,5.2,2.539999999999999
Piloto A,639,2636.8,Mavic Pro,78,11.525,27,11.049,65.1,0.3,0.47600000000000087
Piloto A,762,1366.3,Mavic Air 2,97,13.006,55,12.748,130.4,1.3,1.658999999999999
Piloto A,527,2476.7,Phantom 4,99,17.0,58,15.064,122.8,3.3,1.936
Piloto D,704,1445.0,Spark,95,12.7,7,10.544,61.1,0.6,2.155999999999999
Piloto B,110,2566.8,Spark,98,12.719,84,11.947,20.6,0.0,0.7720000000000002
Piloto A,1225,1.4,Phantom 4,100,17.119,13,14.539,21.8,2.9,2.58
Piloto A,584,2968.8,Phantom 3 Advanced,97,17.035,43,14.434,67.8,4.5,2.601000000000001
Piloto B,143,2560.8,Spark,97,12.682,80,11.742,3.6,0.1,0.9399999999999995
Piloto A,429,2544.6,Mavic Pro,99,12.468,66,11.302,53.8,1.5,1.1660000000000004
Piloto A,237,2631.7,Mavic Pro,97,12.771,84,11.648,49.0,0.1,1.123000000000001
Piloto A,1385,2631.9,Mavic Air 2,100,12.849,13,10.955,66.3,2.8,1.8940000000000001
Piloto A,1089,2631.4,Phantom 4,100,16.924,15,14.245,53.7,2.2,2.6790000000000003
Piloto B,693,2621.0,Spark,98,12.637,8,10.622,67.3,0.4,2.0150000000000006
Piloto A,841,539.9,Phantom 4,78,16.243,18,14.363,103.4,0.4,1.879999999999999
Piloto D,0,0.0,Phantom 3 Advanced,30,14.94,30,14.815,0.0,0.0,0.125
Piloto D,975,2089.3,Phantom 3 Advanced,98,17.072,9,13.947,80.3,10.6,3.125
Piloto B,1442,1329.2,Mavic Air 2,99,12.894,16,11.031,36.0,1.4,1.8629999999999995
Piloto B,249,2646.9,Mavic Air 2,100,12.73,86,12.297,50.7,0.2,0.43299999999999983
Piloto D,18,2558.5,Spark,40,11.27,37,11.053,3.1,0.0,0.21699999999999875
Piloto B,1372,2631.8,Mavic Air 2,100,12.832,20,10.99,65.9,2.0,1.8420000000000005
Piloto B,658,2561.1,Spark,96,12.701,15,10.729,82.7,0.2,1.9720000000000013
Piloto B,1328,279.0,Mavic Air 2,90,12.753,16,11.05,25.8,1.0,1.7029999999999994
Piloto D,673,1443.8,Spark,97,12.576,11,10.753,20.8,0.2,1.8230000000000004
Piloto A,439,306.3,Mavic Pro,58,11.589,27,11.049,6.1,0.1,0.5400000000000009
Piloto A,489,2180.0,Mavic Pro,95,12.674,62,11.75,75.5,0.3,0.9239999999999995
Piloto A,253,359.8,Mavic Pro,33,10.969,14,10.866,80.5,1.0,0.10299999999999976
Piloto B,565,2558.1,Mini 2,60,13.006,17,12.748,27.5,0.7,1.658999999999999
Piloto D,208,0.0,Spark,47,11.422,12,10.556,0.0,0.0,0.8660000000000014
Piloto A,268,2632.1,Mavic Pro,100,12.653,81,11.552,65.3,0.2,1.1010000000000009
Piloto A,697,2631.9,Mavic Pro,95,12.538,45,11.354,5.4,0.2,1.184000000000001
Piloto D,764,2562.4,Phantom 3 Advanced,93,16.783,22,14.308,42.2,1.7,2.4750000000000014
Piloto D,746,1683.5,Spark,100,12.656,9,10.701,150.2,0.4,1.955
Piloto A,622,2560.8,Mavic Air 2,52,11.55,14,10.907,8.1,0.2,0.6430000000000007
Piloto B,559,887.4,Mavic Air 2,76,12.174,45,11.384,7.2,0.2,0.7899999999999991
Piloto A,602,2629.9,Mavic Air 2,100,12.988,66,11.671,20.0,0.3,1.3170000000000002
Piloto D,0,38.6,Phantom 3 Advanced,98,17.062,98,16.948,0.0,0.0,0.11400000000000077
Piloto D,340,2573.2,Spark,56,11.649,12,10.701,110.3,0.5,0.9479999999999986
Piloto B,594,2561.5,Spark,94,12.556,20,10.838,80.4,0.3,1.718
Piloto A,347,4.0,Mavic Pro,78,12.288,52,11.388,114.0,2.3,0.9000000000000004
Piloto D,598,2640.9,Spark,98,12.621,23,10.845,40.1,0.9,1.7759999999999998
Piloto A,663,993.4,Phantom 4,99,16.985,46,14.861,403.5,2.7,2.1239999999999988
Piloto A,413,2559.7,Mavic Air 2,49,11.398,22,10.946,43.4,0.2,0.45199999999999996
Piloto D,0,62.8,Phantom 3 Advanced,93,16.756,93,16.649,0.0,0.0,0.10699999999999932
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.194,43,15.194,0.0,0.0,0.0
Piloto D,80,0.0,Spark,100,12.849,87,11.666,0.0,0.0,1.1829999999999998
Piloto A,265,2641.7,Phantom 3 Advanced,43,14.377,20,14.131,151.1,0.3,0.24600000000000044
Piloto D,1057,2184.2,Phantom 3 Advanced,98,17.013,22,14.583,224.1,6.7,2.4300000000000015
Piloto A,1098,2632.0,Mavic Pro,100,12.717,18,10.984,66.7,0.4,1.7330000000000005
Piloto B,694,2620.9,Spark,99,12.715,8,10.655,67.2,0.8,2.0600000000000005
Piloto A,183,2553.4,Mavic Pro,100,12.906,100,12.906,84.1,0.0,0.0
Piloto D,915,339.8,Phantom 3 Advanced,97,17.063,11,14.06,95.6,9.5,3.0029999999999983
Piloto A,214,2563.4,Phantom 4,46,15.333,30,14.418,17.3,0.1,0.9150000000000009
Piloto B,53,2620.8,Phantom 3 Advanced,56,15.501,54,13.111,38.3,0.0,2.389999999999999
Piloto A,1063,2631.9,Mavic Pro,100,12.889,21,11.127,68.2,0.5,1.7619999999999987
Piloto A,749,2554.9,Spark,97,12.659,15,10.707,36.7,0.4,1.952
Piloto A,563,2620.4,Spark,97,12.714,30,10.852,19.7,0.3,1.862
Piloto D,343,1071.6,Phantom 3 Advanced,76,15.993,41,14.394,7.4,0.1,1.5990000000000002
Piloto A,760,306.7,Spark,98,12.771,12,10.811,185.9,1.0,1.9600000000000009
Piloto A,1516,2557.9,Mavic Air 2,99,12.827,8,10.848,29.9,0.4,1.9789999999999992
Piloto A,534,2562.1,Mavic Pro,100,12.528,59,11.694,24.8,0.3,0.8339999999999996
Piloto A,272,2714.4,Mavic Pro,100,13.007,81,12.024,52.6,0.9,0.9830000000000005
Piloto D,455,966.6,Phantom 3 Advanced,60,15.698,15,14.087,324.3,4.4,1.6110000000000007
Piloto B,0,2629.6,Mavic Air 2,100,12.642,100,12.861,0.3,0.0,-0.2190000000000012
Piloto A,1026,2631.9,Mavic Pro,95,12.691,18,11.223,7.9,0.3,1.468
Piloto A,913,1921.9,Phantom 3 Advanced,100,17.155,15,14.219,74.9,6.8,2.9360000000000017
Piloto D,636,2620.0,Spark,91,12.477,11,10.75,51.3,0.7,1.7270000000000003
Piloto A,36,77.0,Mavic Pro,96,12.486,94,12.431,22.5,0.0,0.05500000000000149
Piloto D,1038,21.3,Phantom 3 Advanced,96,16.931,16,14.11,72.5,4.4,2.8210000000000015
Piloto B,0,2558.2,Mini 2,94,13.006,94,12.748,0.0,0.0,1.658999999999999
Piloto A,1063,2632.0,Mavic Pro,93,12.337,10,10.529,57.6,2.6,1.8079999999999998
Piloto B,209,2632.3,Mavic Air 2,87,11.962,75,11.981,16.2,0.0,-0.019000000000000128
Piloto A,802,3011.7,Phantom 3 Advanced,95,16.864,25,14.136,139.8,1.8,2.7280000000000015
Piloto D,725,2731.4,Spark,99,12.721,10,10.73,61.2,1.0,1.9909999999999997
Piloto D,643,343.1,Phantom 3 Advanced,88,15.504,6,13.948,96.7,7.0,1.5559999999999992
Piloto B,766,2620.5,Spark,100,12.813,9,10.697,82.2,0.1,2.1160000000000014
Piloto B,536,2560.7,Spark,98,12.607,29,10.758,58.7,0.5,1.8490000000000002
Piloto D,393,2562.8,Spark,65,11.798,12,10.695,50.8,0.4,1.1029999999999998
Piloto D,0,2810.0,Spark,99,12.596,99,12.632,0.0,0.0,-0.03599999999999959
Piloto A,697,1485.3,Mavic Air 2,94,13.006,57,12.748,104.9,1.5,1.658999999999999
Piloto B,650,2620.6,Spark,99,12.617,19,10.786,65.8,0.2,1.8310000000000013
Piloto B,193,2631.9,Mavic Air 2,100,12.844,89,12.361,63.2,0.2,0.48299999999999876
Piloto A,551,189.1,Phantom 4,62,15.291,21,14.808,118.7,1.3,0.48300000000000054
Piloto D,33,2741.2,Phantom 3 Advanced,100,16.987,97,14.821,148.4,0.0,2.1659999999999986
Piloto A,257,271.6,Phantom 4,99,16.877,83,16.044,11.2,0.1,0.8329999999999984
Piloto A,878,438.3,Phantom 3 Advanced,98,17.037,26,14.206,82.1,1.1,2.8309999999999995
Piloto A,1182,1107.9,Mavic Air 2,100,13.006,37,12.748,204.0,2.0,1.658999999999999
Piloto B,200,2561.1,Spark,86,12.393,62,11.457,20.8,0.0,0.9359999999999999
Piloto B,804,290.7,Mavic Air 2,63,11.915,18,11.047,31.2,0.3,0.8679999999999986
Piloto D,731,2810.0,Phantom 3 Advanced,97,17.02,26,14.267,179.3,7.5,2.753
Piloto B,764,2629.8,Phantom 3 Professional,92,16.53,15,14.095,56.8,0.8,2.4350000000000005
Piloto B,0,0.0,Spark,95,12.5,95,12.509,0.0,0.0,-0.009000000000000341
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.177,43,15.177,0.0,0.0,0.0
Piloto D,95,2560.0,Phantom 3 Advanced,55,15.426,47,14.001,52.0,0.1,1.4250000000000007
Piloto A,790,1449.0,Mavic Air 2,88,12.444,41,11.28,153.9,1.5,1.1640000000000015
Piloto A,1004,254.0,Phantom 4,87,16.484,18,14.739,10.7,0.2,1.745000000000001
Piloto A,560,305.8,Phantom 4,100,15.896,61,15.307,51.9,0.8,0.5890000000000004
Piloto A,349,2579.1,Spark,92,12.491,50,11.021,54.5,0.1,1.4699999999999989
Piloto D,85,259.9,Spark,43,11.426,33,10.95,2.8,0.0,0.47600000000000087
Piloto D,452,2088.1,Phantom 3 Advanced,77,14.78,30,14.37,431.4,5.1,0.41000000000000014
Piloto A,1212,1587.2,Phantom 4,100,16.43,13,14.846,10.7,0.6,1.5839999999999996
Piloto D,0,2556.8,Matrice 210 RTK V2,59,23.469,59,23.447,0.0,0.0,0.022000000000002018
Piloto D,598,272.9,Phantom 3 Advanced,77,16.212,46,15.307,400.6,3.5,0.9049999999999994
Piloto D,0,2562.5,Phantom 3 Advanced,94,16.838,94,16.745,0.0,0.0,0.09299999999999997
Piloto D,686,21.4,Spark,99,12.789,15,10.739,6.3,0.2,2.049999999999999
Piloto A,492,738.0,Phantom 4,61,15.211,21,14.673,93.2,0.7,0.5380000000000003
Piloto A,690,2576.7,Mavic Pro,95,12.718,45,11.263,2.1,0.4,1.455
Piloto D,695,2577.7,Spark,93,12.639,10,10.584,150.0,0.7,2.0549999999999997
Piloto A,210,216.9,Mavic Pro,89,12.357,74,11.644,129.4,0.5,0.7129999999999992
Piloto D,568,2620.4,Spark,94,12.649,21,10.853,89.3,0.2,1.7959999999999994
Piloto D,116,2561.5,Matrice 210 RTK V2,91,24.73,82,24.213,49.5,0.0,0.5169999999999995
Piloto A,802,2632.3,Phantom 4,81,15.195,18,14.578,64.8,0.4,0.6170000000000009
Piloto B,315,2559.9,Mavic Air 2,100,12.82,82,12.11,10.5,0.2,0.7100000000000009
Piloto B,1504,2629.5,Mavic Air 2,100,12.996,9,10.931,65.4,2.9,2.0650000000000013
Piloto A,74,2621.8,Mavic Pro,85,12.252,79,11.952,12.5,0.1,0.3000000000000007
Piloto D,530,1009.3,Phantom 3 Advanced,95,16.955,51,14.682,242.0,0.5,2.272999999999998
Piloto B,0,0.0,Spark,95,12.603,94,12.485,0.0,0.0,0.11800000000000033
Piloto D,21,4.0,Phantom 3 Advanced,86,15.014,85,14.948,30.0,0.0,0.06599999999999895
Piloto D,1163,985.4,Mavic Pro,100,12.784,20,11.01,28.2,0.6,1.774000000000001
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.187,43,15.187,0.0,0.0,0.0
Piloto A,1152,2612.6,Mavic Air 2,94,12.589,26,11.011,71.6,1.1,1.5780000000000012
Piloto A,592,2562.2,Spark,85,12.623,11,10.679,23.0,0.3,1.943999999999999
Piloto A,75,3.7,Mavic Pro,100,12.865,97,12.21,20.1,0.0,0.6549999999999994
Piloto A,1081,1062.7,Phantom 4,100,16.958,20,14.431,75.3,1.8,2.5269999999999992
Piloto B,1171,1243.2,Phantom 3 Advanced,99,17.061,16,14.163,69.6,3.5,2.8979999999999997
Piloto D,625,2620.4,Spark,93,12.692,8,10.78,12.3,0.3,1.9120000000000008
Piloto A,654,2547.3,Mavic Pro,100,12.717,54,11.449,69.4,0.3,1.2680000000000007
Piloto B,902,1811.0,Mavic Air 2,93,12.475,37,11.143,151.5,1.0,1.331999999999999
Piloto A,1399,2563.2,Mavic Air 2,98,12.851,12,10.957,15.2,0.3,1.8940000000000001
Piloto D,326,985.3,Mavic Pro,36,11.327,14,10.883,37.0,1.1,0.44400000000000084
Piloto D,964,1419.8,Phantom 3 Advanced,98,16.994,10,13.338,183.4,9.7,3.6560000000000006
Piloto A,1305,1511.2,Mavic Air 2,89,12.555,14,10.965,136.3,2.4,1.5899999999999999
Piloto D,331,2553.7,Spark,96,12.723,58,11.456,92.1,0.9,1.2670000000000012
Piloto A,750,2632.0,Phantom 3 Advanced,88,16.394,15,13.892,53.1,2.3,2.501999999999999
Piloto A,1011,2562.9,Phantom 3 Advanced,98,17.055,15,14.19,97.2,3.9,2.865
Piloto A,463,7.0,Mavic Pro,57,11.657,27,10.974,18.2,0.7,0.6829999999999998
Piloto D,798,1716.2,Phantom 3 Advanced,98,17.107,21,14.175,30.1,0.6,2.9319999999999986
Piloto D,831,828.2,Phantom 3 Advanced,95,16.992,18,14.054,398.2,6.2,2.9380000000000006
Piloto B,646,293.0,Mavic Air 2,92,12.856,58,11.706,19.7,0.2,1.1500000000000004
Piloto A,779,2578.5,Mavic Pro,95,11.525,39,10.811,16.4,0.3,0.7140000000000004
Piloto A,780,2620.4,Spark,99,12.675,7,10.554,60.6,1.1,2.1210000000000004
Piloto A,347,2631.7,Mavic Pro,100,12.667,74,11.554,50.9,0.3,1.1129999999999995
Piloto A,0,2563.4,Phantom 4,46,15.359,46,15.333,0.0,0.0,0.0259999999999998
Piloto A,1098,3.0,Phantom 3 Advanced,97,17.019,16,14.176,63.6,2.4,2.842999999999998
Piloto D,8,259.0,Phantom 3 Advanced,86,16.074,84,14.7,1.7,0.0,1.3740000000000023
Piloto A,398,1338.7,Phantom 4,86,16.592,60,14.927,20.6,0.1,1.6649999999999991
Piloto D,811,2561.3,Phantom 3 Advanced,99,17.04,35,14.821,34.2,0.7,2.2189999999999994
Piloto D,1495,4.5,Matrice 210 RTK V2,99,25.84,10,21.613,150.7,13.8,4.227
Piloto B,1482,1337.7,Mavic Air 2,100,12.942,14,10.982,30.1,1.8,1.9600000000000009
Piloto A,547,2113.9,Mavic Pro,100,12.846,65,11.664,29.3,0.2,1.1820000000000004
Piloto D,817,2553.8,Phantom 3 Advanced,93,16.773,16,14.065,84.0,3.9,2.708
Piloto D,1239,231.8,Phantom 4,100,17.133,16,14.385,85.0,6.4,2.7479999999999993
Piloto A,1455,2558.7,Mavic Air 2,98,12.799,12,10.949,82.2,4.2,1.8499999999999996
Piloto B,16,1653.8,Mavic Air 2,100,13.002,99,12.966,2.3,0.0,0.036000000000001364
Piloto A,1002,2637.9,Mavic Pro,95,11.698,20,10.768,8.6,0.3,0.9299999999999997
Piloto A,0,0.0,Phantom 4,96,16.947,96,16.92,0.0,0.0,0.02699999999999747
Piloto C,1176,2631.5,Mavic Pro,100,12.617,19,10.792,9.9,0.4,1.825000000000001
Piloto D,1241,3.1,Phantom 3 Advanced,100,17.146,16,14.539,42.4,2.2,2.607000000000001
Piloto A,662,2566.9,Phantom 4,98,16.973,44,14.337,79.5,1.9,2.6359999999999992
Piloto D,958,689.6,Phantom 3 Advanced,98,17.072,10,13.988,78.8,5.5,3.0839999999999996
Piloto B,535,2620.4,Spark,99,12.742,28,11.3,63.6,0.1,1.4420000000000002
Piloto B,1229,2559.4,Mavic Air 2,96,12.523,19,10.974,90.2,4.0,1.5489999999999995
Piloto B,311,2561.0,Spark,50,11.419,8,10.628,80.2,0.1,0.7910000000000004
Piloto B,1165,2646.9,Mavic Air 2,100,12.753,32,11.13,65.5,0.7,1.6229999999999993
Piloto A,476,2631.8,Mavic Pro,100,12.823,68,11.65,64.6,0.3,1.173
Piloto A,766,1585.6,Mavic Air 2,96,12.622,54,11.456,149.8,1.7,1.1660000000000004
Piloto B,734,2560.6,Spark,95,12.627,9,10.717,81.1,0.4,1.9100000000000001
Piloto A,697,306.8,Spark,99,12.854,17,10.905,42.9,0.7,1.9489999999999998
Piloto B,756,2631.7,Phantom 3 Professional,95,16.734,20,14.036,61.9,0.8,2.698000000000002
Piloto A,242,1741.7,Phantom 3 Advanced,97,16.983,84,15.717,105.4,0.9,1.266
Piloto D,357,2253.8,Mavic Pro,100,12.734,73,11.883,153.5,0.6,0.8510000000000009
Piloto A,810,1871.5,Spark,99,12.838,13,10.615,283.6,0.8,2.222999999999999
Piloto D,816,2558.2,Matrice 210 RTK V2,70,24.107,11,21.507,51.3,3.8,2.599999999999998
Piloto A,1498,1108.0,Mavic Air 2,96,13.006,13,12.748,61.1,3.6,1.658999999999999
Piloto A,56,614.0,Mavic Pro,99,12.839,94,12.374,194.2,0.2,0.46499999999999986
Piloto A,699,2503.6,Mavic Pro,85,11.871,37,11.243,199.3,1.4,0.6280000000000001
Piloto A,819,1066.0,Phantom 4,75,16.142,13,14.266,60.1,2.1,1.8759999999999994
Piloto A,753,1582.8,Mavic Air 2,100,13.009,58,11.627,81.6,1.2,1.3819999999999997
Piloto D,680,2557.5,Spark,98,12.786,10,10.685,32.4,1.1,2.100999999999999
Piloto D,660,2557.5,Matrice 210 RTK V2,92,25.408,50,22.64,100.1,3.7,2.7680000000000007
Piloto A,248,1888.3,Phantom 3 Advanced,97,16.865,77,14.756,115.2,1.5,2.108999999999998
Piloto D,20,0.0,Spark,97,12.727,94,12.146,0.0,0.0,0.5809999999999995
Piloto B,332,1336.5,Phantom 3 Advanced,93,16.814,67,14.963,95.9,1.5,1.8510000000000009
Piloto D,604,259.7,Phantom 3 Advanced,96,17.004,43,14.393,14.5,0.4,2.6110000000000007
Piloto A,935,1655.0,Phantom 3 Advanced,98,17.08,12,13.94,119.9,7.4,3.139999999999999
Piloto A,494,2920.7,Mavic Pro,77,11.438,38,11.288,224.5,0.5,0.15000000000000036
Piloto A,1261,301.9,Phantom 4,97,17.2,12,14.566,97.9,0.8,2.6339999999999986
Piloto A,57,315.0,Mavic Air 2,99,12.968,95,12.839,6.9,0.0,0.12899999999999956
Piloto A,742,283.8,Phantom 4,100,17.181,48,14.826,40.5,1.0,2.3550000000000004
Piloto A,358,2114.1,Spark,98,12.706,58,11.444,142.2,0.3,1.2619999999999987
Piloto A,703,2620.4,Spark,97,12.552,10,10.654,52.3,0.8,1.8979999999999997
Piloto A,241,614.0,Phantom 3 Advanced,97,17.009,81,15.231,142.0,0.8,1.7780000000000005
Piloto A,200,188.0,Phantom 4,97,17.027,82,15.79,118.8,0.7,1.2370000000000019
Piloto B,397,1243.4,Mavic Air 2,100,12.912,79,12.196,8.4,0.1,0.7160000000000011
Piloto A,167,2631.8,Mavic Pro,100,12.494,88,11.596,52.2,0.5,0.8979999999999997
Piloto D,515,1435.9,Phantom 3 Advanced,100,17.023,51,14.38,138.1,4.8,2.642999999999999
Piloto A,498,2631.8,Mavic Pro,53,11.573,15,11.003,68.4,0.2,0.5700000000000003
Piloto D,698,2814.1,Spark,98,12.533,9,10.58,51.0,0.9,1.9529999999999994
